,Date Created,Number of Likes,Source of Tweet,Tweets
0,2022-11-05 22:37:51+00:00,4,Twitter Web App,People w/ #disabilities who've experienced our broken systems firsthand are uniquely positioned to articulate what better public policy would mean for their lives. Get involved! Payment for published pieces is $500 (op-ed/personal narratives shining light on economic disparities) https://t.co/IwvmrlbcXM
1,2022-11-05 23:59:59+00:00,0,HubSpot,Rise in mental health crisis with COVID - Mohsen Omrani   #ITConsulting #ITStrategy #ITProcess #ITServices #Revenue #Risks #leader https://t.co/9O2zHMCAyA
2,2022-11-05 23:59:59+00:00,0,Twitter Web App,@charliekirk11 So they can release COVID 2 without killing a bunch of their own citizens first.
3,2022-11-05 23:59:59+00:00,1,Twitter Web App,"@notstuartbuck Brass actually kills germs, so you're also prepping for and COVID season"
4,2022-11-05 23:59:56+00:00,0,Twitter for iPhone,@PeterSweden7 Relationship to Covid vaccine should be researched?
5,2022-11-05 23:59:56+00:00,0,Twitter Web App,"@RudeRugg @ComicDaveSmith Covid was what transformed me from a liberal to a libertarian, seeing all my lib friends just follow government orders without question and happily do it was bananas to me, couldn’t associate with them anymore."
6,2022-11-05 23:59:54+00:00,1,Twitter for iPhone,"@GrewePaul @ReelzChannel @OfficialOPLive @OnPatrolLive Still recovering from Covid, but here and ready to watch!"
7,2022-11-05 23:59:53+00:00,0,Twitter for iPhone,"@PhilipPapaelias @opgnyc @RossBarkan Sincerely would like to know why anyone wants to vote for Hochul.

@leezeldin is my default vote because @GovKathyHochul has proven herself a corrupt tyrant willing to mandate covid vaccines for kids. She also doesn’t give a rats ass about street violence and crime. 

Am done."
8,2022-11-05 23:59:53+00:00,1,Twitter for iPhone,I on the other hand was able to get all vaccinations (frankly didn’t even need them as I never gotten Covid somehow??) just sucks cause we will never be able to enjoy a convention together..
9,2022-11-05 23:59:53+00:00,2,Twitter for iPhone,It’s only fitting that COVID Lockdown 2.0 begins with Gobert again https://t.co/Wm8rO50ZAq https://t.co/srZBrNCO4g
10,2022-11-05 23:59:53+00:00,0,Twitter for iPhone,"@estvoxpopuli @BuckFiden777 @Jake_Savel @leelasik Same. A friend from the UK in Biotech has established that Covid proliferates via the Glycolytic pathway, and seems to also be pH dependent on severity, so ketosis seems like a viable state.
I can provide his info for LinkedIn if you are on it. DM me"
11,2022-11-05 23:59:52+00:00,2,Twitter for Android,"@morethanmySLE 😷😷😷😷😷 Don't want a cold or flu, as well as Covid. Can't picture ever sitting in a Dr's waiting room again maskless.🤞🤞🤞😷"
12,2022-11-05 23:59:52+00:00,1,Twitter Web App,"@Leafer1984 @unusualdelivery That's actually been one of the biggest revelations for me during Covid / working from home.  I loved my fancy dress shoes/boots, but not wearing them has done wonders for my back and hip pain. 

But that said, sneakers with suits?  Nope."
13,2022-11-05 23:59:51+00:00,0,Twitter for iPad,"@TheLeoTerrell Even when Worthless Walz of Minnesota used covid as an excuse to limit his Rally supporters at 500 another 20K + arrived on site to stay and watch outside the fence.
I was there and it was glorious ❤️"
14,2022-11-05 23:59:49+00:00,0,Twitter Web App,"@JillianHortonMD That b.s. is all over the place. Could not be further from the truth. It distracts from the real cause #COVID and people blaming PH for not protecting their children.
In BC: 0-4 ""most #COVID infected and least vaccinated."" Case in point: https://t.co/QFWZRvdotu"
15,2022-11-05 23:59:49+00:00,14,Twitter Web App,"As millions of people struggled to make ends meet because of the catastrophic mishandling of the Covid-19 pandemic, Donald Trump was pushing conspiracies and encouraging a mob of Confederate flag-bearing domestic terrorists to storm the US Capitol.

#TrumpRally https://t.co/bMV2CSKxSd"
